ra	dec	freq	z	Log(MHI)	Log(Mstellar)	Log(SFR)	Log(Age)	EBV	umag	gmag	rmag	Inclination	Name_copy	asy	log_asy	spec_center	Asy_l
150.366572	2.340383	1.411	0.007	7.08	6.35991	-2.14172	8.656548	0.2	20.14657	19.492781	19.237109	59.217712	J100128.0+022025	0.23	-0.5108256237659907	0.0	-0.66
150.474191	2.413661	1.411	0.007	7.694	7.45316	-2.03358	9.69897	0.05	18.461895	17.777561	17.452504	69.23154	J100153.8+022449	0.91	0.3576744442718159	0.0	-0.04
150.613031	2.166756	1.412	0.006	7.309	6.92162	-2.25476	9.380211	0.1	19.133808	18.439042	18.134389	30.122276	J100227.1+021000	1.18	0.5596157879354227	0.0	0.09
150.125251	2.149586	1.415	0.004	6.694	6.03149	-2.29557	8.306547	0.3	20.172159	19.408106	19.146548	41.088451	J100030.1+020859	1.19	-0.2876820724517809	-2.0	-0.23
150.131525	3.205297	1.41	0.007	8.809	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100031.6+031219	0.87	-0.0618754037180875	0.0	-0.08
149.695121	2.347518	1.412	0.006	8.575	7.45581	-2.22268	9.342423	0.0	18.281999	17.387532	17.070461	61.850416	J095846.8+022051	0.72	-0.1392620673335076	0.0	-0.16
150.814329	2.095156	1.412	0.006	8.398	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100315.4+020543	1.18	-0.0100503358535014	0.0	0.17
149.866208	2.006979	1.402	0.013	8.505	6.84255	-0.780785	7.69897	0.3	19.587873	18.909352	18.621263	26.671231	J095927.9+020025	0.84	0.1570037488096647	0.0	-0.08
150.024251	1.911049	1.412	0.006	7.661	7.55574	-2.01273	9.740363	0.1	18.507423	17.664867	17.268963	65.397265	J100005.8+015440	0.78	0.048790164169432	0.0	-0.13
149.621203	1.694047	1.412	0.006	9.144	8.09286	-1.75556	10.041393	0.1	0.0	16.774086	16.371393	61.192186	J095829.1+014139	0.67	-0.2744368457017603	0.0	-0.23
150.594617	2.422255	1.391	0.021	8.842	8.76312	-1.17826	10.113943	0.2	19.867069	18.805098	18.369638	65.572138	J100222.7+022520	1.22	0.3148107398400336	0.0	0.08
149.767885	2.254443	1.386	0.025	8.713	7.68873	-1.36999	9.255273	0.1	20.117972	19.410575	19.151777	52.338899	J095904.3+021516	0.74	0.009950330853168	4.0	0.29
149.811985	2.19203	1.386	0.025	8.262	7.43607	-1.89758	9.544068	0.05	21.032057	20.315124	20.038753	64.972907	J095914.9+021131	1.59	0.6523251860396901	0.0	0.25
150.191228	1.864153	1.383	0.027	7.934	7.93508	-1.59342	9.740363	0.15	20.987038	20.134294	19.739421	64.131591	J100045.9+015151	1.47	0.4446858212614457	0.0	0.19
150.345539	1.793541	1.386	0.025	8.626	7.63386	-1.0156	8.806548	0.15	19.793967	19.101079	18.902416	63.849486	J100122.9+014737	1.14	0.1655144384775733	2.0	0.08
150.546806	2.021576	1.391	0.021	8.713	9.22808	-0.875788	9.812913	0.0	17.734623	16.802068	16.351435	36.504629	J100211.2+020118	1.26	0.4252677354043441	0.0	0.14
150.210259	1.335588	1.391	0.021	9.092	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100050.5+012008	0.87	-0.0512932943875505	2.0	-0.03
149.964278	1.70668	1.386	0.025	8.813	7.18355	-0.914351	8.206545	0.1	0.0	19.196451	19.114004	46.634656	J095951.4+014224	0.84	0.0676586484738148	0.0	-0.12
149.593779	1.584713	1.383	0.027	9.037	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J095822.5+013505	0.7	-0.1165338162559515	20.0	-0.06
150.002307	2.633136	1.387	0.024	7.957	7.45237	-2.11465	9.778151	0.05	21.452276	20.657328	20.34299	35.103695	J100000.6+023759	0.45	-0.9675840262617056	10.0	-0.45
150.038618	2.713136	1.375	0.033	9.472	9.45761	-0.521555	9.875061	0.0	0.0	17.083673	16.655813	58.705082	J100009.3+024247	0.7	-0.2613647641344075	0.0	-0.18
150.099013	2.368161	1.375	0.033	7.916	7.59845	-1.98592	9.30103	0.05	21.790596	20.961849	20.544352	48.384637	J100023.8+022205	1.22	0.2070141693843261	3.0	0.1
