Name	RA	DEC	V_sys (km/s)	z	w50 (km/s)	D_67 (Mpc)	D_70 (Mpc)	S_int (Jy km/s)	HI size (kpc)	HI size err	log D_HI	log D_HI err	log M_HI (70)	err (70)	log M_HI (67)	err (67)	Inclination	Morpho	RMS (mJy/beam)	Field
MGTH_J021711.2-042120	34.296873	-4.355446	16948	0.056366135	384.586336	261.2835819	251.737931	0.69961992	56.42075078	0.059168036	1.751438861	0.014688056	9.971305829	0.002757381	10.00363275	0.002757381	TRUE	S	0.09568968	XMMLSS12_1330_1380
MGTH_J021609.9-051858	34.041089	-5.316018	16898	0.056366135	185.127455	261.2835819	251.737931	3.093284986	121.8379855	0.059168036	2.08578271	0.012333611	10.6168636	0.000916056	10.64919052	0.000916056	TRUE	S	0.140555631	XMMLSS12_1330_1380
MGTH_J021708.4-041349	34.285069	-4.230153	16898	0.056366135	161.26899	261.2835819	251.737931	1.778128521	89.3135627	0.059168036	1.950917414	0.013186223	10.37640681	0.00156292	10.40873374	0.00156292	TRUE	S	0.137849759	XMMLSS12_1330_1380
MGTH_J021702.2-044454	34.258989	-4.748429	16886	0.056201964	254.327277	260.492525	250.9753137	0.286225511	35.56156879	0.058993339	1.550980912	0.016537456	9.580651695	0.004059887	9.612980214	0.004059887	TRUE	S	0.057648571	XMMLSS12_1330_1380
MGTH_J021702.7-051940	34.261072	-5.327789	16088	0.053582157	140.859556	247.89224	238.8283894	1.185416141	55.89674743	0.056248911	1.747386538	0.013995786	10.15688121	0.002124532	10.18923517	0.002124532	TRUE	SM	0.12521715	XMMLSS12_1330_1380
MGTH_J021649.7-044852	34.20700	-4.814372	13418	0.044675625	90.745787	205.3841717	197.8548484	0.080494153	14.41870408	0.047395842	1.158926229	0.017781018	8.832670089	0.014591835	8.865110637	0.014591835	TRUE	D	0.058848831	XMMLSS12_1330_1380
MGTH_J021742.5-050425	34.427052	-5.073718	13393	0.04435456	131.800526	203.8613667	196.3871627	0.45673344	38.59071199	0.0470818	1.586482791	0.012902975	9.580368353	0.002582544	9.612812024	0.002582544	TRUE	S	0.059114763	XMMLSS12_1330_1380
MGTH_J021822.2-050614	34.592315	-5.103939	13345	0.04435456	179.094364	203.8613667	196.3871627	0.261555075	30.31419072	0.0470818	1.481645979	0.013815951	9.338268693	0.005236561	9.370712364	0.005236561	TRUE	S	0.068642766	XMMLSS12_1330_1380
MGTH_J021847.0-045555	34.695855	-4.931915	13297	0.04435456	60.80745	203.8613667	196.3871627	0.101116886	18.53280691	0.0470818	1.267941201	0.016144556	8.925529228	0.012608704	8.957972899	0.012608704	TRUE	S	0.063896876	XMMLSS12_1330_1380
MGTH_J021744.6-050322	34.436039	-5.056013	13153	0.043873332	87.093679	201.5801609	194.1885465	0.269502075	31.8938416	0.046651551	1.503706833	0.013488855	9.341889017	0.004283148	9.37433737	0.004283148	TRUE	S	0.057875346	XMMLSS12_1330_1380
MGTH_J021729.0-050827	34.370664	-5.140736	13105	0.04355276	101.840132	200.0613557	192.7247413	0.790182666	49.6794142	0.046328062	1.696176466	0.011875318	9.802748905	0.001740754	9.835200378	0.001740754	TRUE	S	0.068985076	XMMLSS12_1330_1380
MGTH_J021544.5-045540	33.935225	-4.92766	13069	0.04355276	225.531848	200.0613557	192.7247413	1.741757239	65.27852358	0.046328062	1.814770323	0.011099275	10.00630856	0.001127894	10.1784605	0.001127894	TRUE	SM	0.09852498	XMMLSS12_1330_1380
MGTH_J021542.4-045436	33.926655	-4.910034	12865	0.04275219	456.492941	196.271324	189.0720013	0.497022046	40.65202578	0.04557241	1.609082192	0.012313909	9.58544316	0.004317763	9.617902422	0.004317763	TRUE	SM	0.107703546	XMMLSS12_1330_1380
MGTH_J021632.8-041357	34.13669	-4.232503	13117	0.04355276	95.068927	200.0613557	192.7247413	0.215500646	23.04404845	0.046328062	1.36255878	0.014782948	9.238469984	0.016169085	9.270921456	0.016169085	TRUE	S	0.174752901	XMMLSS12_1330_1380
MGTH_J021541.6-051317	33.923184	-5.221326	12913	0.042912205	90.115346	197.0285334	189.8017761	0.724033045	47.1189077	0.045722186	1.673195214	0.011880987	9.752038718	0.004429153	9.784496423	0.004429153	TRUE	S	0.160921318	XMMLSS12_1330_1380
MGTH_J021810.7-043224	34.544602	-4.539994	12901	0.042912205	51.685338	197.0285334	189.8017761	0.074549188	9.825477681	0.045722186	0.992353673	0.020032385	8.76472325	0.018024344	8.797180954	0.018024344	TRUE	D	0.067427468	XMMLSS12_1330_1380
MGTH_J021647.2-044544	34.196702	-4.762277	12841	0.04275219	98.163036	196.271324	189.0720013	0.135132548	16.11459463	0.04557241	1.207219385	0.016413	9.019827472	0.00896785	9.052286734	0.00896785	TRUE	S	0.060819637	XMMLSS12_1330_1380
MGTH_J021642.0-044221	34.17513	-4.705771	12853	0.04275219	64.537382	196.271324	189.0720013	0.597075732	33.47574681	0.04557241	1.524730274	0.012995145	9.665096927	0.00212744	9.697556189	0.00212744	TRUE	S	0.063750308	XMMLSS12_1330_1380
MGTH_J021625.5-044228	34.106412	-4.707871	12841	0.04275219	86.773985	196.271324	189.0720013	0.073661079	15.47130707	0.04557241	1.189527006	0.016657118	8.756305584	0.019031989	8.788764846	0.019031989	TRUE	D	0.070358697	XMMLSS12_1330_1380
MGTH_J021831.4-054452	34.63064	-5.74789	12769	0.042592223	274.016499	195.5145126	188.3426126	2.935326361	57.18389134	0.045421745	1.757273706	0.011238195	10.3534999	0.005158173	10.38596072	0.005158173	TRUE	SM	0.759991708	XMMLSS12_1330_1380
MGTH_J021932.7-041447	34.886371	-4.246454	12841	0.042591458	241.329591	195.5108925	188.3391236	0.761283856	45.19724864	0.045421046	1.655111998	0.011931688	9.767374672	0.006564489	9.799835498	0.006564489	TRUE	SM	0.250844222	XMMLSS12_1330_1380
MGTH_J021744.9-041158	34.437157	-4.199451	12769	0.042592223	199.452428	195.5145126	188.3426126	1.40851491	54.86586295	0.045421745	1.739302214	0.011354315	10.03460495	0.002075284	10.06706577	0.002075284	TRUE	S	0.146722127	XMMLSS12_1330_1380
MGTH_J021712.1-044225	34.300484	-4.707072	12745	0.042432305	65.740748	194.7580991	187.6136098	0.089528247	15.54714921	0.045274093	1.191650767	0.016518588	8.834568324	0.01248133	8.867030699	0.01248133	TRUE	D	0.056096867	XMMLSS12_1330_1380
MGTH_J021750.4-044940	34.459872	-4.827862	12745	0.042432305	141.673635	194.7580991	187.6136098	0.174556728	26.65694036	0.045274093	1.4258103	0.013805756	9.124544836	0.005932541	9.15700721	0.005932541	TRUE	Irr	0.051987027	XMMLSS12_1330_1380
MGTH_J021824.1-052754	34.600597	-5.46498	12745	0.042432305	222.07368	194.7580991	187.6136098	1.047875636	51.43810477	0.045274093	1.711284959	0.011502695	9.902917984	0.00338107	9.935380359	0.00338107	TRUE	S	0.177861347	XMMLSS12_1330_1380
MGTH_J021815.4-041558	34.564123	-4.266186	12661	0.042112617	261.456948	193.2464644	186.1567611	2.231500157	68.20134112	0.04497691	1.833792915	0.010663788	10.20239921	0.00115456	10.25716601	0.00115456	TRUE	S	0.129375851	XMMLSS12_1330_1380
MGTH_J021816.4-041706	34.568246	-4.285076	12649	0.042112617	44	193.2464644	186.1567611	0.111696683	15.94267844	0.04497691	1.202561287	0.016261274	8.924143883	0.020684848	8.956609369	0.020684848	TRUE	D	0.116019892	XMMLSS12_1330_1380
MGTH_J021532.8-044607	33.886873	-4.76852	12649	0.042112617	290.636214	193.2464644	186.1567611	1.926869491	68.38371278	0.04497691	1.834952676	0.010657048	10.16095591	0.001129541	10.19342139	0.001129541	TRUE	S	0.109293446	XMMLSS12_1330_1380
MGTH_J021645.3-044704	34.188663	-4.784566	12601	0.041953611	51.816763	192.4948555	185.4323963	0.075984304	13.77178705	0.044828871	1.138990299	0.017112361	8.753573628	0.015679952	8.786040661	0.015679952	FALSE	D	0.059836969	XMMLSS12_1330_1380
MGTH_J021827.2-041219	34.613517	-4.205383	12493	0.041633453	196.762953	190.9819902	183.9743768	1.147725558	50.60096595	0.044529808	1.704158807	0.011360905	9.926098182	0.002782174	9.95856833	0.002782174	TRUE	S	0.160415217	XMMLSS12_1330_1380
MGTH_J021711.8-042441	34.299247	-4.411298	11408	0.037975204	135.899515	173.7426647	167.3607438	0.269569344	28.06462294	0.041220715	1.448159212	0.012375746	9.217779025	0.006140994	9.250284786	0.006140994	TRUE	Irr	0.08343368	XMMLSS12_1330_1380
MGTH_J021824.8-042850	34.603315	-4.480676	11313	0.037658243	44	172.2530991	165.9253034	0.04442424	10.11373508	0.04094887	1.004911573	0.017716839	8.427511848	0.03481315	8.460020696	0.03481315	TRUE	D	0.077968355	XMMLSS12_1330_1380
MGTH_J021724.3-043322	34.351291	-4.556091	10236	0.03407524	48.552164	155.4602235	149.7433051	0.054248566	8.756772303	0.037977831	0.942344057	0.017522369	8.428154098	0.023550784	8.460697844	0.023550784	TRUE	D	0.064619552	XMMLSS12_1330_1380
MGTH_J021729.9-041656	34.374608	-4.28213	10189	0.033869761	87.54713	154.4997214	148.8177817	0.150345367	15.83511066	0.037822072	1.199621103	0.013707977	8.865643324	0.014701475	8.898189072	0.014701475	TRUE	S	0.111810588	XMMLSS12_1330_1380
MGTH_J021748.5-044410	34.451997	-4.736234	11254	0.037499836	52.784393	171.5089026	165.2081518	0.063123233	37.51762719	0.040815235	1.574235364	0.011272618	8.576451393	0.016537838	8.608961784	0.016537838	FALSE	D	0.052636186	XMMLSS12_1330_1380
MGTH_J021742.0-041520	34.424863	-4.255457	10048	0.033555302	199.671717	153.0303368	147.4019158	0.96595218	47.32355822	0.037549182	1.675077391	0.009746255	9.66546973	0.002501458	9.698018542	0.002501458	TRUE	S	0.122265591	XMMLSS12_1330_1380
MGTH_J021759.3-041634	34.497196	-4.276041	10001	0.033398145	98.887384	152.296222	146.694543	0.901373247	39.37611614	0.03741306	1.595232877	0.010196974	9.631372512	0.002507325	9.663922855	0.002507325	TRUE	S	0.114375338	XMMLSS12_1330_1380
MGTH_J021743.8-051752	34.432584	-5.297716	9648	0.031985875	130.983375	145.7064777	140.3449557	0.488161537	25.5446135	0.036197919	1.407299336	0.011183282	9.327784954	0.003857993	9.360349058	0.003857993	TRUE	Irr	0.095412441	XMMLSS12_1330_1380
MGTH_J021814.0-044944	34.558499	-4.828902	9566	0.031829194	163.135284	144.9762008	139.6413051	0.487742149	28.77195786	0.036064034	1.458969416	0.010747323	9.323177749	0.002228451	9.35574338	0.002228451	TRUE	S	0.055068644	XMMLSS12_1330_1380
MGTH_J021529.1-051859	33.871086	-5.316251	7884	0.026220944	157.395241	118.9427637	114.5586468	0.738145506	28.82975829	0.031055299	1.459841001	0.009249161	9.335891268	0.006384891	9.368511569	0.006384891	TRUE	S	0.240100471	XMMLSS12_1330_1380
MGTH_J021702.2-050351	34.259169	-5.064251	7803	0.026066009	129.705473	118.2264956	113.8685816	1.028550394	30.57938221	0.030932564	1.485428707	0.009053912	9.386237009	0.001210718	9.507479893	0.001210718	TRUE	S	0.063444942	XMMLSS12_1330_1380
MGTH_J021659.0-050352	34.245846	-5.064522	7768	0.025756279	96.170334	116.795083	112.4895408	0.194420591	15.50872059	0.030687993	1.190575972	0.011206849	8.741053465	0.008162631	8.773678297	0.008162631	TRUE	D	0.080877075	XMMLSS12_1330_1380
MGTH_J021808.2-045217	34.534123	-4.871398	7745	0.025756279	64.730427	116.795083	112.4895408	0.052344364	6.179741234	0.030687993	0.79097029	0.016868656	8.171181132	0.019513283	8.203805964	0.019513283	TRUE	D	0.052053902	XMMLSS12_1330_1380
MGTH_J022002.8-042547	35.011522	-4.429787	5373	0.01792013	132.832387	80.79172132	77.80656132	0.448495133	15.27288707	0.024634904	1.183921141	0.00904691	8.790538058	0.008891366	8.823239336	0.008891366	TRUE	S	0.204722524	XMMLSS12_1330_1380
MGTH_J021719.4-052851	34.330642	-5.480772	5373	0.01776915	239.520369	80.1020418	77.1422338	14.93064962	75.09517022	0.024530689	1.875612006	0.00568642	10.28727742	0.000233087	10.3382426	0.000233087	TRUE	S	0.178689363	XMMLSS12_1330_1380
MGTH_J021714.5-052922	34.310259	-5.489346	5236	0.017464408	241.706345	78.71044168	75.80179439	0.636383534	18.86627063	0.024294164	1.27568606	0.00828	8.920214741	0.007130108	8.952920467	0.007130108	TRUE	D	0.233046573	XMMLSS12_1330_1380
MGTH_J021836.3-043236	34.651117	-4.543458	3962	0.013217101	93.122056	59.37968323	57.18265074	2.28663334	25.34659331	0.021587323	1.403919597	0.00668542	9.234495362	0.000616416	9.267242548	0.000616416	TRUE	S	0.072687483	XMMLSS12_1330_1380
MGTH_J021911.4-052640	34.797416	-5.444369	3172	0.010505364	44	47.10089604	45.35679273	0.141743685	3.061082663	0.02013621	0.485875058	0.018018776	7.827886432	0.02871423	7.860660096	0.02871423	TRUE	D	0.210439089	XMMLSS12_1330_1380
MGTH_J022128.8-042448	35.369807	-4.413428	2341	0.007807389	178.215884	34.93342587	33.63885245	9.585570233	24.4894732	0.019055617	1.388979443	0.005964848	9.400720507	0.004989995	9.43352052	0.004989995	TRUE	S	2.479609144	XMMLSS12_1330_1380
