#Created by Natasha on Wed Nov 11 19:09:39 2020
#Early science data from COSMOS and XMMLSS, 1310-1420MHz
#Only objects with an optical counterpart are included, duplicates have been removed
#Objects with Mstellar -99 are outside the deep imaging footprint
name ra dec freq z Log(MHI) Log(Mstellar) W50 u(W50) Log(SFR) Log(Age) EBV umag gmag rmag Semimaj Semimin PA Inclination
MGTH_J100128.0+022025 150.366572 2.340383 1.410788 0.006817 7.080000 6.359910 44.000000 44.000000 -2.141720 8.656548 0.200000 20.146570 19.492781 19.237109 8.873000 4.541000 20.000000 59.217712
MGTH_J100153.8+022449 150.474191 2.413661 1.410788 0.006817 7.694000 7.453160 65.756668 44.000000 -2.033580 9.698970 0.050000 18.461895 17.777561 17.452504 16.103000 5.710000 90.000000 69.231540
MGTH_J100227.1+021000 150.613031 2.166756 1.412042 0.005923 7.309000 6.921620 57.944200 44.000000 -2.254760 9.380211 0.100000 19.133808 18.439042 18.134389 7.679000 6.642000 0.000000 30.122276
MGTH_J100030.1+020859 150.125251 2.149586 1.414550 0.004140 6.694000 6.031490 54.106730 44.000000 -2.295570 8.306547 0.300000 20.172159 19.408106 19.146548 7.576000 5.710000 120.000000 41.088451
MGTH_J100031.6+031219 150.131525 3.205297 1.410370 0.007116 8.809000 -99.000000 128.806247 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095846.8+022051 149.695121 2.347518 1.412251 0.005774 8.575000 7.455810 119.881986 44.000000 -2.222680 9.342423 0.000000 18.281999 17.387532 17.070461 31.373000 14.801000 315.000000 61.850416
MGTH_J100315.4+020543 150.814329 2.095156 1.412251 0.005774 8.398000 -99.000000 64.779894 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095927.9+020025 149.866208 2.006979 1.402218 0.012971 8.505000 6.842550 86.778544 44.000000 -0.780785 7.698970 0.300000 19.587873 18.909352 18.621263 9.511000 8.499000 90.000000 26.671231
MGTH_J100005.8+015440 150.024251 1.911049 1.411624 0.006221 7.661000 7.555740 86.415204 44.000000 -2.012730 9.740363 0.100000 18.507423 17.664867 17.268963 17.520000 7.294000 300.000000 65.397265
MGTH_J095829.1+014139 149.621203 1.694047 1.411833 0.006072 9.144000 8.092860 110.093025 44.000000 -1.755560 10.041393 0.100000 0.000000 16.774086 16.371393 39.996000 19.273000 60.000000 61.192186
MGTH_J100222.7+022520 150.594617 2.422255 1.390723 0.021343 8.842000 8.763120 125.853140 44.000000 -1.178260 10.113943 0.200000 19.867069 18.805098 18.369638 15.708000 6.496000 140.000000 65.572138
MGTH_J095904.3+021516 149.767885 2.254443 1.386334 0.024577 8.713000 7.688730 92.104034 44.000000 -1.369990 9.255273 0.100000 20.117972 19.410575 19.151777 9.154000 5.593000 0.000000 52.338899
MGTH_J095914.9+021131 149.811985 2.192030 1.386334 0.024577 8.262000 7.436070 108.913617 44.000000 -1.897580 9.544068 0.050000 21.032057 20.315124 20.038753 7.654000 3.238000 330.000000 64.972907
MGTH_J100045.9+015151 150.191228 1.864153 1.382781 0.027209 7.934000 7.935080 63.016313 44.000000 -1.593420 9.740363 0.150000 20.987038 20.134294 19.739421 7.222000 3.151000 320.000000 64.131591
MGTH_J100122.9+014737 150.345539 1.793541 1.385916 0.024886 8.626000 7.633860 93.583306 44.000000 -1.015600 8.806548 0.150000 19.793967 19.101079 18.902416 12.207000 5.380000 50.000000 63.849486
MGTH_J100211.2+020118 150.546806 2.021576 1.390723 0.021343 8.713000 9.228080 104.784185 44.000000 -0.875788 9.812913 0.000000 17.734623 16.802068 16.351435 18.431000 14.815000 30.000000 36.504629
MGTH_J100306.5+015019 150.777000 1.838532 1.398456 0.015696 7.823000 5.907900 44.000000 44.000000 -6.823920 9.056550 0.050000 0.000000 23.930471 23.235958 3.643000 3.502000 0.000000 15.992944
MGTH_J100050.5+012008 150.210259 1.335588 1.390723 0.021343 9.092000 -99.000000 95.042515 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095951.4+014224 149.964278 1.706680 1.385707 0.025040 8.813000 7.183550 90.704590 44.000000 -0.914351 8.206545 0.100000 0.000000 19.196451 19.114004 9.242000 6.346000 130.000000 46.634656
MGTH_J095822.5+013505 149.593779 1.584713 1.382572 0.027365 9.037000 -99.000000 66.695312 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100000.6+023759 150.002307 2.633136 1.386960 0.024114 7.957000 7.452370 60.008644 44.000000 -2.114650 9.778151 0.050000 21.452276 20.657328 20.342990 5.256000 4.300000 90.000000 35.103695
MGTH_J100009.3+024247 150.038618 2.713136 1.375466 0.032672 9.472000 9.457610 177.072018 44.000000 -0.521555 9.875061 0.000000 0.000000 17.083673 16.655813 19.904000 10.339000 330.000000 58.705082
MGTH_J100023.8+022205 150.099013 2.368161 1.375466 0.032672 7.916000 7.598450 46.215222 44.000000 -1.985920 9.301030 0.050000 21.790596 20.961849 20.544352 6.693000 4.445000 90.000000 48.384637
MGTH_J100115.2+021823 150.313451 2.306401 1.381109 0.028453 9.248000 8.610820 163.045308 44.000000 -0.783372 9.414973 0.000000 18.468288 17.761891 17.487835 15.423000 5.408000 345.000000 69.473220
MGTH_J100357.1+022505 150.988075 2.418039 1.383617 0.026589 9.586000 -99.000000 382.401402 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100352.4+022534 150.968441 2.426136 1.383408 0.026744 8.872000 -99.000000 61.088377 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100008.1+024554 150.033782 2.765133 1.380273 0.029076 9.116000 10.047400 272.108844 44.000000 0.284639 9.954243 0.200000 0.000000 15.954721 15.442971 11.579000 11.065000 0.000000 17.135763
